Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Chicago Bears,118,43,36.4,18,9,50.0,39,24,61.5
Denver Broncos,152,44,28.9,11,5,45.5,28,10,35.7
Los Angeles Chargers,130,46,35.4,20,12,60.0,36,19,52.8
Arizona Cardinals,127,47,37.0,17,7,41.2,42,25,59.5
New England Patriots,135,48,35.6,19,7,36.8,26,19,73.1
New Orleans Saints,130,48,36.9,15,9,60.0,35,21,60.0
Houston Texans,141,48,34.0,12,7,58.3,25,15,60.0
Buffalo Bills,132,50,37.9,13,9,69.2,32,18,56.3
Detroit Lions,138,50,36.2,20,10,50.0,36,22,61.1
Cleveland Browns,145,50,34.5,10,5,50.0,30,16,53.3
New York Jets,142,51,35.9,13,10,76.9,41,23,56.1
Green Bay Packers,143,52,36.4,24,14,58.3,29,17,58.6
Kansas City Chiefs,126,52,41.3,17,4,23.5,31,17,54.8
Los Angeles Rams,150,53,35.3,34,17,50.0,35,15,42.9
Tennessee Titans,133,53,39.8,14,10,71.4,41,24,58.5
Atlanta Falcons,138,53,38.4,24,14,58.3,33,18,54.5
San Francisco 49ers,137,54,39.4,12,8,66.7,41,23,56.1
Baltimore Ravens,148,54,36.5,26,15,57.7,43,25,58.1
Tampa Bay Buccaneers,138,55,39.9,24,11,45.8,27,18,66.7
Washington Commanders,132,55,41.7,16,9,56.3,41,25,61.0
Minnesota Vikings,150,56,37.3,11,8,72.7,35,17,48.6
Seattle Seahawks,158,56,35.4,31,18,58.1,37,21,56.8
New York Giants,142,57,40.1,13,9,69.2,42,30,71.4
Miami Dolphins,136,57,41.9,18,13,72.2,40,20,50.0
Philadelphia Eagles,143,58,40.6,20,6,30.0,33,16,48.5
Jacksonville Jaguars,141,59,41.8,16,7,43.8,34,21,61.8
Indianapolis Colts,140,60,42.9,20,11,55.0,41,23,56.1
Las Vegas Raiders,142,61,43.0,14,10,71.4,42,25,59.5
Carolina Panthers,149,66,44.3,19,13,68.4,37,20,54.1
Pittsburgh Steelers,157,67,42.7,26,19,73.1,38,21,55.3
Cincinnati Bengals,140,68,48.6,14,9,64.3,49,32,65.3
Dallas Cowboys,140,69,49.3,14,7,50.0,42,29,69.0
