Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Kansas City Chiefs,229,111,48.5,17,12,70.6,65,35,53.8
Tampa Bay Buccaneers,216,110,50.9,14,9,64.3,70,46,65.7
Cincinnati Bengals,214,100,46.7,19,10,52.6,61,39,63.9
Washington Commanders,217,99,45.6,23,20,87.0,71,45,63.4
Philadelphia Eagles,235,98,41.7,27,19,70.4,68,39,57.4
Detroit Lions,206,98,47.6,33,22,66.7,72,50,69.4
Baltimore Ravens,191,92,48.2,15,8,53.3,66,49,74.2
Denver Broncos,230,91,39.6,22,15,68.2,56,35,62.5
Pittsburgh Steelers,228,90,39.5,18,7,38.9,56,27,48.2
Buffalo Bills,202,89,44.1,22,16,72.7,67,48,71.6
Los Angeles Chargers,221,89,40.3,16,10,62.5,50,28,56.0
Houston Texans,231,87,37.7,18,11,61.1,57,28,49.1
San Francisco 49ers,197,84,42.6,16,8,50.0,63,36,57.1
Dallas Cowboys,228,84,36.8,28,10,35.7,50,23,46.0
Indianapolis Colts,219,83,37.9,28,17,60.7,52,28,53.8
Arizona Cardinals,193,83,43.0,18,8,44.4,57,32,56.1
New York Jets,210,83,39.5,24,10,41.7,55,30,54.5
Atlanta Falcons,209,82,39.2,31,21,67.7,53,29,54.7
New York Giants,232,82,35.3,37,20,54.1,44,19,43.2
Tennessee Titans,215,81,37.7,23,9,39.1,45,24,53.3
Minnesota Vikings,200,80,40.0,13,6,46.2,61,34,55.7
Seattle Seahawks,210,79,37.6,19,10,52.6,42,24,57.1
Las Vegas Raiders,224,78,34.8,25,14,56.0,45,22,48.9
Miami Dolphins,212,77,36.3,31,15,48.4,53,30,56.6
New Orleans Saints,216,76,35.2,27,15,55.6,43,25,58.1
Chicago Bears,231,76,32.9,38,23,60.5,37,23,62.2
Jacksonville Jaguars,204,76,37.3,26,14,53.8,50,29,58.0
Carolina Panthers,211,76,36.0,30,14,46.7,50,31,62.0
New England Patriots,215,75,34.9,24,14,58.3,47,22,46.8
Green Bay Packers,190,75,39.5,16,8,50.0,69,41,59.4
Los Angeles Rams,201,74,36.8,24,16,66.7,63,33,52.4
Cleveland Browns,237,70,29.5,44,24,54.5,37,18,48.6
