Player,Tm,Pos,Status,Injury Comment,Practice Status,Player-additional
Joshua Farmer,NWE,DT,Out,Hamstring,Full Participation In Practice,FarmJo00
Thayer Munford,NWE,OL,,Knee,Full Participation In Practice,MunfTh00
Drake Maye,NWE,QB,,Shoulder,Full Participation In Practice,MayeDr00
Morgan Moses,NWE,OT,,Rest,Full Participation In Practice,MoseMo00
Robert Spillane,NWE,LB,Questionable,Ankle,Limited Participation In Practice,SpilRo00
Harold Landry,NWE,OLB,Questionable,Knee,Limited Participation In Practice,LandHa00
Leonard Williams,SEA,DT,,Rest,Full Participation In Practice,WillLe02
Jake Bobo,SEA,WR,,Hand,Full Participation In Practice,BoboJa00
Drake Thomas,SEA,LB,,Shoulder,Full Participation In Practice,ThomDr00
Jaxon Smith-Njigba,SEA,WR,,Rest,Full Participation In Practice,SmitJa06
Eric Saubert,SEA,TE,,Hamstring,Full Participation In Practice,SaubEr00
Brady Russell,SEA,FB,,Hand,Full Participation In Practice,RussBr00
Julian Love,SEA,FS,,Shoulder,Full Participation In Practice,LoveJu00
DeMarcus Lawrence,SEA,LB,,Rest,Full Participation In Practice,LawrDe00
Ernest Jones,SEA,LB,,Chest,Full Participation In Practice,JoneEr01
Nick Emmanwori,SEA,S,,Ankle,Full Participation In Practice,EmmaNi00
Sam Darnold,SEA,QB,,Oblique,Full Participation In Practice,DarnSa00
Charles Cross,SEA,T,,Foot,Full Participation In Practice,CrosCh00
Robbie Ouzts,SEA,FB,Questionable,Neck,Limited Participation In Practice,OuztRo00
Josh Jones,SEA,T-G,,Ankle,Limited Participation In Practice,JoneJo07
