Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Indianapolis Colts,12,357,4505,720,6.3,12,5,264,257,382,2892,19,7,7.2,146,316,1613,22,5.1,96,78,640,22,53.0,9.4,154.54
New England Patriots,13,351,4714,804,5.9,13,7,267,277,388,3246,23,6,7.6,159,376,1468,12,3.9,88,81,667,20,43.9,9.8,113.06
Dallas Cowboys,12,351,4717,778,6.1,15,6,279,309,446,3255,26,9,7.0,166,315,1462,12,4.6,78,94,779,35,47.2,11.8,139.29
Seattle Seahawks,12,350,4230,702,6.0,22,11,241,223,328,2827,19,11,8.2,129,359,1403,14,3.9,85,75,594,27,46.2,15.4,63.87
Detroit Lions,12,350,4515,739,6.1,8,3,240,265,382,2858,26,5,7.0,149,331,1657,16,5.0,81,74,543,10,44.3,6.1,124.35
Buffalo Bills,12,337,4572,760,6.0,17,7,264,246,356,2704,19,10,7.0,139,376,1868,21,5.0,100,81,662,25,45.6,12.8,123.98
Los Angeles Rams,12,334,4321,729,5.9,11,7,269,266,402,2959,32,4,7.1,160,310,1362,10,4.4,82,52,426,27,43.5,8.9,132.52
Chicago Bears,12,313,4491,795,5.6,9,4,254,234,402,2645,18,5,6.3,130,374,1846,15,4.9,108,91,759,16,43.7,6.7,67.10
San Francisco 49ers,13,307,4435,836,5.3,18,5,282,307,450,3154,22,13,6.7,174,366,1281,11,3.5,90,67,499,18,44.8,13.4,69.66
Kansas City Chiefs,12,305,4498,791,5.7,8,1,276,285,441,3078,22,7,6.6,157,323,1420,13,4.4,98,86,753,21,49.1,7.0,142.40
Green Bay Packers,12,294,4087,731,5.6,7,4,244,245,364,2681,20,3,7.0,136,350,1406,14,4.0,86,76,566,22,44.9,5.9,130.83
Jacksonville Jaguars,12,292,3912,777,5.0,14,3,247,236,395,2433,16,11,5.7,129,350,1479,15,4.2,90,104,861,28,37.6,10.5,16.39
Baltimore Ravens,12,289,3807,681,5.6,18,10,217,208,317,2166,16,8,6.2,106,330,1641,15,5.0,91,70,546,20,40.5,13.0,20.27
Denver Broncos,12,284,4090,761,5.4,13,4,230,266,433,2658,19,9,5.9,135,314,1432,13,4.6,75,98,916,20,37.0,8.0,54.29
Pittsburgh Steelers,12,281,3380,667,5.1,14,5,204,240,362,2254,21,9,5.9,105,283,1126,8,4.0,76,73,577,23,37.8,10.2,20.79
Cincinnati Bengals,12,280,3760,729,5.2,18,6,233,280,457,2698,23,12,5.6,136,247,1062,5,4.3,68,67,485,29,39.5,14.0,9.16
New York Giants,13,279,4421,838,5.3,14,6,266,252,413,2816,17,8,6.3,124,389,1605,17,4.1,108,96,818,34,36.8,9.8,60.27
Tampa Bay Buccaneers,12,279,3794,748,5.1,9,4,223,251,402,2476,19,5,5.8,119,320,1318,10,4.1,79,65,517,25,38.9,6.9,22.76
Los Angeles Chargers,12,277,4161,772,5.4,14,4,244,272,409,2696,21,10,6.0,138,323,1465,7,4.5,85,80,598,21,45.0,10.8,50.88
Philadelphia Eagles,12,270,3657,696,5.3,8,6,205,226,342,2355,19,2,6.4,112,327,1302,12,4.0,76,91,765,17,33.6,5.6,41.93
Arizona Cardinals,12,265,4047,787,5.1,15,8,248,315,465,2840,19,7,5.6,156,280,1207,9,4.3,70,89,656,22,37.1,11.3,27.24
Houston Texans,12,263,3921,773,5.1,10,3,232,271,427,2629,16,7,5.8,137,319,1292,7,4.1,66,86,714,29,40.9,6.8,22.66
Washington Commanders,12,262,4051,728,5.6,15,7,235,225,358,2384,17,8,6.2,117,341,1667,13,4.9,90,83,678,28,37.9,11.2,53.00
Miami Dolphins,12,247,3602,672,5.4,18,4,207,237,353,2197,17,14,5.8,124,292,1405,8,4.8,72,70,577,11,39.0,14.4,19.96
Carolina Panthers,13,247,4045,800,5.1,17,7,249,255,400,2414,19,10,5.6,138,370,1631,7,4.4,88,71,563,23,35.4,12.6,13.36
New York Jets,12,246,3366,713,4.7,14,9,206,208,336,1762,13,5,4.7,100,336,1604,9,4.8,91,82,681,15,34.4,9.4,-33.98
Atlanta Falcons,12,243,4016,733,5.5,11,7,235,235,384,2529,12,4,6.3,129,330,1487,14,4.5,84,65,534,22,35.1,6.9,31.50
Minnesota Vikings,12,224,3271,668,4.9,26,7,196,221,367,2078,13,19,5.1,109,258,1193,8,4.6,64,89,715,23,31.6,17.3,-66.25
Cleveland Browns,12,194,3096,744,4.2,15,5,193,234,406,1914,11,10,4.4,93,305,1182,8,3.9,74,80,640,26,25.4,10.1,-103.19
New Orleans Saints,12,182,3559,762,4.7,19,9,221,282,426,2471,13,10,5.4,122,304,1088,3,3.6,71,84,606,28,28.2,14.5,-44.26
Las Vegas Raiders,12,179,3114,690,4.5,17,3,195,255,379,2209,15,14,5.2,125,265,905,4,3.4,49,86,701,21,26.3,12.8,-75.94
Tennessee Titans,12,170,2909,696,4.2,16,10,180,246,412,1989,7,6,4.3,114,236,920,4,3.9,50,90,685,16,26.4,12.0,-105.48
