Week,Visitor,Home,Date,Winner,PtsW,PtsL,YdsW,YdsL,TOW,TOL
1,New England Patriots,Seattle Seahawks,2026-09-09,Seattle Seahawks,13,10,285,277,0,3
1,San Francisco 49ers,Los Angeles Rams,2026-09-10,San Francisco 49ers,27,7,379,290,1,2
1,Atlanta Falcons,Pittsburgh Steelers,2026-09-13,Pittsburgh Steelers,20,13,264,238,1,2
1,Buffalo Bills,Houston Texans,2026-09-13,Buffalo Bills,36,31,409,381,0,2
1,Chicago Bears,Carolina Panthers,2026-09-13,Chicago Bears,59,37,552,478,1,3
1,Tampa Bay Buccaneers,Cincinnati Bengals,2026-09-13,Cincinnati Bengals,33,27,351,282,1,4
1,Cleveland Browns,Jacksonville Jaguars,2026-09-13,Jacksonville Jaguars,34,10,360,272,0,2
1,Baltimore Ravens,Indianapolis Colts,2026-09-13,Baltimore Ravens,41,23,506,251,1,2
1,New Orleans Saints,Detroit Lions,2026-09-13,Detroit Lions,31,30,369,469,1,3
1,New York Jets,Tennessee Titans,2026-09-13,New York Jets,23,10,367,195,0,1
1,Arizona Cardinals,Los Angeles Chargers,2026-09-13,Arizona Cardinals,26,14,393,268,0,2
1,Green Bay Packers,Minnesota Vikings,2026-09-13,Minnesota Vikings,39,22,239,419,1,2
1,Miami Dolphins,Las Vegas Raiders,2026-09-13,Las Vegas Raiders,27,13,290,259,2,2
1,Washington Commanders,Philadelphia Eagles,2026-09-13,Philadelphia Eagles,24,22,318,295,0,0
1,Dallas Cowboys,New York Giants,2026-09-13,New York Giants,28,20,394,244,1,1
1,Denver Broncos,Kansas City Chiefs,2026-09-14,Kansas City Chiefs,31,10,392,176,1,2
