Tm,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,RZAtt,RZTD,RZPct
Los Angeles Chargers,251,115,45.8,21,12,57.1,57,27,47.4
San Francisco 49ers,213,106,49.8,22,13,59.1,66,43,65.2
Green Bay Packers,205,100,48.8,25,14,56.0,59,34,57.6
Chicago Bears,227,97,42.7,29,15,51.7,55,32,58.2
Cincinnati Bengals,221,96,43.4,20,14,70.0,54,36,66.7
Denver Broncos,233,96,41.2,20,10,50.0,57,33,57.9
Buffalo Bills,210,94,44.8,32,19,59.4,65,43,66.2
Tampa Bay Buccaneers,228,94,41.2,29,13,44.8,50,27,54.0
Arizona Cardinals,224,93,41.5,28,12,42.9,61,33,54.1
New York Giants,224,90,40.2,39,18,46.2,59,28,47.5
New Orleans Saints,223,88,39.5,34,14,41.2,45,20,44.4
Dallas Cowboys,209,86,41.1,35,22,62.9,65,37,56.9
Houston Texans,231,86,37.2,19,11,57.9,54,25,46.3
Jacksonville Jaguars,217,85,39.2,29,17,58.6,68,42,61.8
New England Patriots,198,85,42.9,25,18,72.0,63,36,57.1
Pittsburgh Steelers,210,84,40.0,23,12,52.2,51,30,58.8
Detroit Lions,214,83,38.8,31,18,58.1,64,40,62.5
Indianapolis Colts,195,83,42.6,27,18,66.7,66,43,65.2
Baltimore Ravens,203,83,40.9,25,15,60.0,59,28,47.5
Seattle Seahawks,206,82,39.8,12,7,58.3,59,32,54.2
Kansas City Chiefs,219,82,37.4,32,24,75.0,59,34,57.6
New York Jets,229,80,34.9,41,18,43.9,38,17,44.7
Cleveland Browns,235,79,33.6,29,12,41.4,38,20,52.6
Philadelphia Eagles,210,78,37.1,21,11,52.4,44,31,70.5
Los Angeles Rams,192,76,39.6,30,20,66.7,76,48,63.2
Tennessee Titans,232,74,31.9,35,16,45.7,33,19,57.6
Carolina Panthers,205,74,36.1,40,27,67.5,45,24,53.3
Las Vegas Raiders,213,72,33.8,32,13,40.6,36,18,50.0
Washington Commanders,189,71,37.6,26,16,61.5,46,30,65.2
Atlanta Falcons,207,69,33.3,28,14,50.0,50,31,62.0
Miami Dolphins,192,67,34.9,23,11,47.8,48,27,56.3
Minnesota Vikings,195,62,31.8,24,15,62.5,51,29,56.9
