Tm,G,PF,Tot_Yds,Ply,Y/P,TO,FL,Tot_1stD,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,NY/A,Pass_1stD,Rush_Att,Rush_Yds,Rush_TD,Y/A,Rush_1stD,Pen,Pen_Yds,1stPy,Sc%,TO%,EXP
Seattle Seahawks,16,470,5612,948,5.9,28,13,317,305,455,3696,25,15,7.7,168,468,1916,18,4.1,115,95,768,34,46.6,14.9,75.09
Detroit Lions,16,462,5911,991,6.0,14,7,320,367,540,3992,34,7,6.9,207,415,1919,21,4.6,98,98,683,15,43.8,7.9,150.33
Los Angeles Rams,15,457,5951,953,6.2,12,7,355,341,520,4057,40,5,7.5,210,414,1894,17,4.6,112,67,518,33,46.9,7.5,202.71
Dallas Cowboys,16,454,6377,1066,6.0,19,8,375,405,600,4384,31,11,6.9,221,435,1993,16,4.6,111,124,1042,43,49.4,11.4,182.17
New England Patriots,16,452,5992,988,6.1,16,8,338,344,480,4044,30,8,7.7,198,460,1948,18,4.2,116,95,802,24,45.7,9.9,173.93
Buffalo Bills,16,446,5927,1010,5.9,19,9,344,322,466,3424,25,10,6.8,180,504,2503,29,5.0,133,98,820,31,44.2,10.9,163.90
Indianapolis Colts,16,436,5526,954,5.8,20,7,333,338,512,3595,23,13,6.7,188,414,1931,26,4.7,115,97,789,30,49.1,11.3,135.24
San Francisco 49ers,16,434,5801,1040,5.6,21,6,370,379,547,4037,33,15,7.1,229,469,1764,15,3.8,118,80,620,23,49.4,13.0,145.18
Jacksonville Jaguars,16,433,5416,1035,5.2,18,6,332,320,531,3524,26,12,6.2,179,465,1892,21,4.1,120,125,1060,33,41.9,10.1,57.57
Chicago Bears,16,425,6012,1051,5.7,10,4,342,314,541,3621,26,6,6.4,180,487,2391,19,4.9,138,116,945,24,44.6,5.7,114.58
Baltimore Ravens,16,400,5288,926,5.7,22,12,302,267,404,2763,20,10,6.2,136,480,2525,23,5.3,140,90,668,26,42.9,12.5,72.94
Cincinnati Bengals,16,396,5232,991,5.3,22,6,328,383,601,3783,33,16,6.0,197,356,1449,11,4.1,94,82,593,37,40.8,13.0,51.01
Green Bay Packers,16,388,5533,960,5.8,13,6,322,322,478,3624,26,7,7.2,179,457,1909,18,4.2,114,101,771,29,45.5,8.3,164.12
Denver Broncos,16,382,5585,1034,5.4,17,6,321,374,590,3683,25,11,6.0,190,425,1902,18,4.5,104,123,1144,27,38.1,8.5,93.33
Pittsburgh Steelers,16,371,4806,915,5.3,15,6,277,334,503,3150,25,9,5.9,146,383,1656,14,4.3,101,96,758,30,38.3,8.4,48.08
Houston Texans,16,366,5220,1024,5.1,12,3,301,347,550,3502,23,9,6.0,175,443,1718,8,3.9,89,111,912,37,41.1,6.1,37.04
Los Angeles Chargers,16,365,5458,1026,5.3,19,6,318,347,525,3504,26,13,6.0,178,445,1954,10,4.4,111,99,762,29,44.8,10.4,57.40
Tampa Bay Buccaneers,16,364,5109,1002,5.1,15,5,311,335,536,3302,25,10,5.8,162,430,1807,13,4.2,108,89,692,41,39.2,8.8,38.31
Philadelphia Eagles,16,362,4984,948,5.3,14,8,288,297,457,3076,25,6,6.3,153,459,1908,16,4.2,109,108,950,26,35.3,6.6,67.04
Kansas City Chiefs,16,350,5283,999,5.3,13,1,327,345,553,3555,23,12,6.0,183,407,1728,15,4.2,118,112,906,26,43.5,8.4,113.02
New York Giants,16,347,5289,1016,5.2,16,6,322,301,493,3255,19,10,6.1,146,479,2034,21,4.2,133,121,1012,43,36.9,9.4,62.39
Miami Dolphins,16,337,4932,895,5.5,22,5,278,306,454,2951,22,17,6.0,167,407,1981,14,4.9,99,94,759,12,37.8,12.8,34.95
Arizona Cardinals,16,335,5221,1021,5.1,19,9,315,404,617,3717,27,10,5.5,203,351,1504,9,4.3,87,109,797,25,36.4,10.5,34.66
Washington Commanders,16,332,5145,927,5.6,21,10,298,273,447,2998,18,11,6.2,150,443,2147,18,4.8,113,113,894,35,37.0,12.3,47.37
Minnesota Vikings,16,328,4312,890,4.8,29,8,270,277,453,2608,18,21,5.1,143,379,1704,14,4.5,94,109,866,33,36.0,15.1,-46.58
Atlanta Falcons,15,307,5108,934,5.5,17,10,301,301,493,3238,17,7,6.3,165,419,1870,16,4.5,106,96,735,30,36.6,9.3,37.32
Carolina Panthers,16,297,4740,962,4.9,20,9,290,305,480,2782,22,11,5.4,157,447,1958,9,4.4,108,90,716,25,35.5,12.3,4.08
New York Jets,16,292,4359,964,4.5,23,10,263,287,472,2332,14,13,4.4,131,433,2027,11,4.7,112,106,882,20,30.6,12.1,-92.57
New Orleans Saints,16,289,4991,1010,4.9,22,11,303,374,556,3496,18,11,5.8,173,409,1495,8,3.7,96,112,880,34,33.3,12.7,-15.94
Tennessee Titans,16,277,4219,951,4.4,18,11,251,320,537,2707,15,7,4.6,151,359,1512,8,4.2,80,124,944,20,30.4,9.9,-93.93
Cleveland Browns,16,259,4256,978,4.4,24,6,257,312,536,2725,16,18,4.7,130,397,1531,10,3.9,94,104,800,33,25.8,12.4,-140.63
Las Vegas Raiders,16,227,3964,887,4.5,21,3,244,329,489,2765,20,18,5.0,156,337,1199,5,3.6,62,106,891,26,25.6,12.5,-97.22
