Tm,W,L,T,W-L%
Denver Broncos,9,2,0,.818
New England Patriots,9,2,0,.818
Indianapolis Colts,8,2,0,.800
Los Angeles Rams,8,2,0,.800
Philadelphia Eagles,8,2,0,.800
Buffalo Bills,7,3,0,.700
Chicago Bears,7,3,0,.700
Seattle Seahawks,7,3,0,.700
Green Bay Packers,6,3,1,.650
Los Angeles Chargers,7,4,0,.636
San Francisco 49ers,7,4,0,.636
Detroit Lions,6,4,0,.600
Jacksonville Jaguars,6,4,0,.600
Pittsburgh Steelers,6,4,0,.600
Tampa Bay Buccaneers,6,4,0,.600
Carolina Panthers,6,5,0,.545
Baltimore Ravens,5,5,0,.500
Houston Texans,5,5,0,.500
Kansas City Chiefs,5,5,0,.500
Dallas Cowboys,4,5,1,.450
Minnesota Vikings,4,6,0,.400
Miami Dolphins,4,7,0,.364
Atlanta Falcons,3,7,0,.300
Arizona Cardinals,3,7,0,.300
Cincinnati Bengals,3,7,0,.300
Washington Commanders,3,8,0,.273
Cleveland Browns,2,8,0,.200
Las Vegas Raiders,2,8,0,.200
New Orleans Saints,2,8,0,.200
New York Jets,2,8,0,.200
New York Giants,2,9,0,.182
Tennessee Titans,1,9,0,.100
