Tm,W,L,T,W-L%
Denver Broncos,12,2,0,.857
Los Angeles Rams,11,3,0,.786
New England Patriots,11,3,0,.786
Seattle Seahawks,11,3,0,.786
Buffalo Bills,10,4,0,.714
Chicago Bears,10,4,0,.714
Jacksonville Jaguars,10,4,0,.714
Los Angeles Chargers,10,4,0,.714
San Francisco 49ers,10,4,0,.714
Green Bay Packers,9,4,1,.679
Houston Texans,9,5,0,.643
Philadelphia Eagles,9,5,0,.643
Detroit Lions,8,6,0,.571
Indianapolis Colts,8,6,0,.571
Pittsburgh Steelers,8,6,0,.571
Baltimore Ravens,7,7,0,.500
Carolina Panthers,7,7,0,.500
Tampa Bay Buccaneers,7,7,0,.500
Dallas Cowboys,6,7,1,.464
Kansas City Chiefs,6,8,0,.429
Miami Dolphins,6,8,0,.429
Minnesota Vikings,6,8,0,.429
Atlanta Falcons,5,9,0,.357
Cincinnati Bengals,4,10,0,.286
New Orleans Saints,4,10,0,.286
Washington Commanders,4,10,0,.286
Arizona Cardinals,3,11,0,.214
Cleveland Browns,3,11,0,.214
New York Jets,3,11,0,.214
Las Vegas Raiders,2,12,0,.143
New York Giants,2,12,0,.143
Tennessee Titans,2,12,0,.143
